"1.1","W1","lossless","Informācijas saspiešanas pamatjēdzieni","lossless01-concepts","yes"
"1.2","W1","lossless","Prefiksu kodi","lossless02-prefix","yes"
"1.3","W2","lossless","Aritmētiskie kodi","lossless03-arithmetic","yes"
"1.4","W3","lossless","Lempela-Ziva kodi","lossless04-lempel-ziv","yes"
"1.5","W4","lossless","Berouza-Vīlera transformācija","lossless05-burrows-wheeler","yes"
"1.6","W4","lossless","Bezzudumu saspiešana darbībā","lossless06-applications","yes"
"2.1","W5","lossy","Rastra attēlu saspiešana ar JPEG","lossy01-jpeg","yes"
"2.2","W6","lossy","Skaņas un video saspiešana","lossy02-media","yes"
"3.1","W7","errors","Failu kontrolsummas","errors01-checksums","yes"
"3.2","W7","errors","Heminga un lineārie kodi","errors02-hamming","yes"
"3.3","W8","errors","Rīda-Solomona kodi","errors03-reed-solomon","yes"
"3.4","W8","errors","Citi kļūdu labošanas veidi","errors04-other","yes"
"&nbsp;","W9","graphs","Viduseksāmens","nothing","no"
"4.1","W10","linear","Lineārās programmēšanas pamatjēdzieni","linear01-concepts","yes"
"4.2","W10","linear","Simpleksu metode","linear02-simplex","yes"
"4.3","W11","linear","Lineāro programmu dualitāte","linear03-duality","yes"
"4.4","W12","linear","Elipsoīda metode","linear04-ellipsoid","yes"
"4.5","W12","linear","Afīnās mērogošanas metode","linear05-interior-point","yes"
"5.1","W13","strings","Virkņu meklēšanas jēdzieni","strings01-introduction","yes"
"5.2","W13","strings","Rabina-Karpa un hešinga metodes","strings02-rabin-karp","yes"
"5.3","W14","strings","Knuta-Morisa-Prata algoritms","strings03-kmp","yes"
"5.4","W15","strings","Bojera-Mūra algoritms","strings04-boyer-moore","yes"
"5.5","W15","strings","Sufiksu koki","strings05-suffix-trees","yes"
